country_name,Subregion,Region,Internet users,%,Population (2021),Year
China,Eastern Asia,Asia,"1,102,140,000",77.30%,"1,425,893,465",2022
India,Southern Asia,Asia,"881,250,000",62.60%,"1,407,563,842",2024
United States,Northern America,Americas,"311,300,000",92.40%,"336,997,624",2023
Indonesia,South-eastern Asia,Asia,"215,626,156",78.80%,"273,753,191",2023
Pakistan,Southern Asia,Asia,"170,000,000",70.80%,"240,000,000",2022
Brazil,South America,Americas,"165,300,000",77.10%,"214,326,223",2022
Nigeria,Western Africa,Africa,"136,203,231",63.80%,"213,401,323",2020
Russia,Eastern Europe,Europe,"129,800,000",89.50%,"145,102,755",2022
Bangladesh,Southern Asia,Asia,"126,210,000",75.90%,"166,303,498",2022
Japan,Eastern Asia,Asia,"117,400,000",94.20%,"124,612,530",2021
Mexico,Northern America,Americas,"96,800,000",75.10%,"128,972,439",2023
Egypt,Northern Africa,Africa,"80,750,000",73.90%,"109,262,178",2023
Iran,Western Asia,Asia,"78,086,663",88.80%,"87,923,432",2022
Germany,Western Europe,Europe,"77,794,405",93.30%,"83,408,554",2021
Turkey,Southern Europe,Europe,"74,278,491",87.60%,"84,775,404",2023
Philippines,South-eastern Asia,Asia,"73,003,313",64.10%,"113,880,328",2021
Vietnam,South-eastern Asia,Asia,"68,172,134",69.90%,"97,468,029",2021
United Kingdom,Northern Europe,Europe,"65,001,016",96.60%,"67,281,039",2021
France,Western Europe,Europe,"59,470,000",92.20%,"64,531,444",2021
Korea,Eastern Asia,Asia,"49,421,084",95.40%,"51,830,139",2021
Spain,Southern Europe,Europe,"42,400,756",89.30%,"47,486,935",2021
Thailand,South-eastern Asia,Asia,"54,043,108",75.50%,"71,601,103",2020
Italy,Southern Europe,Europe,"50,540,000",85.30%,"59,240,329",2021
Saudi Arabia,Western Asia,Asia,"34,840,000",96.90%,"35,950,396",2022
Poland,Eastern Europe,Europe,"35,741,108",93.30%,"38,307,726",2023
Canada,Northern America,Americas,"33,950,632",89.00%,"38,155,012",2021
Argentina,South America,Americas,"40,024,673",88.40%,"45,276,780",2022
Tanzania,Eastern Africa,Africa,"33,090,000",52.00%,"63,588,334",2023
South Africa,Southern Africa,Africa,"31,858,027",53.60%,"59,392,255",2021
Colombia,South America,Americas,"39,340,000",76.40%,"51,516,562",2023
Malaysia,South-eastern Asia,Asia,"25,343,685",75.50%,"33,573,874",2021
Ukraine,Eastern Europe,Europe,"28,570,000",65.60%,"43,531,422",2023
Algeria,Northern Africa,Africa,"26,350,000",59.60%,"44,177,969",2021
Myanmar,South-eastern Asia,Asia,"23,650,000",44.00%,"53,798,084",2021
Morocco,Northern Africa,Africa,"22,072,765",59.50%,"37,076,584",2021
Taiwan,Eastern Asia,Asia,"21,920,626",91.90%,"23,859,912",2021
Australia,"Australia, New Zealand",Oceania,"25,309,515",97.60%,"25,921,089",2023
Venezuela,South America,Americas,"20,564,451",72.90%,"28,199,867",2021
Ethiopia,Eastern Africa,Africa,"36,400,000",30.30%,"120,283,026",2021
Iraq,Western Asia,Asia,"18,892,351",43.40%,"43,533,592",2021
Uzbekistan,Central Asia,Asia,"16,692,456",49.00%,"34,081,449",2021
Nepal,Southern Asia,Asia,"16,190,000",53.90%,"30,034,989",2021
Netherlands,Western Europe,Europe,"15,877,494",90.70%,"17,501,696",2021
Peru,South America,Americas,"15,674,241",46.50%,"33,715,471",2021
Chile,South America,Americas,"14,864,456",76.30%,"19,493,184",2021
Kazakhstan,Central Asia,Asia,"13,913,699",72.50%,"19,196,465",2021
Romania,Eastern Europe,Europe,"12,545,558",64.90%,"19,328,560",2021
Sudan,Northern Africa,Africa,"12,512,639",27.40%,"45,657,202",2021
Ghana,Western Africa,Africa,"15,065,541",45.90%,"32,833,031",2021
Côte d'Ivoire,Western Africa,Africa,"10,650,818",38.80%,"27,478,249",2021
Uganda,Eastern Africa,Africa,"10,162,807",22.20%,"45,853,778",2021
Belgium,Western Europe,Europe,"10,021,242",86.30%,"11,611,419",2021
