country_name,Geographical_subregion,Continental_region,Country code
Afghanistan,Southern Asia,Asia,
Åland Islands,Northern Europe,Europe,
Albania,Southern Europe,Europe,
Algeria,Northern Africa,Africa,
American Samoa,Polynesia,Oceania,
Andorra,Southern Europe,Europe,
Angola,Middle Africa,Africa,
Anguilla,Caribbean,Americas,
Antigua and Barbuda,Caribbean,Americas,
Argentina,South America,Americas,
Armenia,Western Asia,Asia,
Aruba,Caribbean,Americas,
Australia,Australia and New Zealand,Oceania,au
Austria,Western Europe,Europe,
Azerbaijan,Western Asia,Asia,
Bahamas,Caribbean,Americas,
Bahrain,Western Asia,Asia,
Bangladesh,Southern Asia,Asia,
Barbados,Caribbean,Americas,
Belarus,Eastern Europe,Europe,
Belgium,Western Europe,Europe,
Belize,Central America,Americas,
Benin,Western Africa,Africa,
Bermuda,Northern America,Americas,
Bhutan,Southern Asia,Asia,
Bolivia,South America,Americas,
"Bonaire, Sint Eustatius and Saba [Caribbean Netherlands]",Caribbean,Americas,
Bosnia and Herzegovina,Southern Europe,Europe,
Botswana,Southern Africa,Africa,
Bouvet Island,South America,Americas,
Brazil,South America,Americas,br
British Indian Ocean Territory,Eastern Africa,Africa,
British Virgin Islands,Caribbean,Americas,
Brunei Darussalam,South-eastern Asia,Asia,
Bulgaria,Eastern Europe,Europe,
Burkina Faso,Western Africa,Africa,
Burundi,Eastern Africa,Africa,
Cape Verde,Western Africa,Africa,
Cambodia,South-eastern Asia,Asia,
Cameroon,Middle Africa,Africa,
Canada,Northern America,Americas,can
Cayman Islands,Caribbean,Americas,
Central African Republic,Middle Africa,Africa,
Chad,Middle Africa,Africa,
Chile,South America,Americas,
China,Eastern Asia,Asia,
"China, Macao Special Administrative Region",Eastern Asia,Asia,
Christmas Island,Australia and New Zealand,Oceania,
Cocos (Keeling) Islands,Australia and New Zealand,Oceania,
Colombia,South America,Americas,
Comoros,Eastern Africa,Africa,
Republic of the Congo,Middle Africa,Africa,
Cook Islands,Polynesia,Oceania,
Costa Rica,Central America,Americas,
Republic of the Côte d'Ivoire,Western Africa,Africa,
Croatia,Southern Europe,Europe,
Cuba,Caribbean,Americas,
Curaçao,Caribbean,Americas,
Cyprus,Western Asia,Asia,
Czech Republic,Eastern Europe,Europe,
Democratic People's Republic of Korea [North Korea],Eastern Asia,Asia,
Democratic Republic of the Congo,Middle Africa,Africa,
Denmark,Northern Europe,Europe,
Djibouti,Eastern Africa,Africa,
Dominica,Caribbean,Americas,
Dominican Republic,Caribbean,Americas,
Ecuador,South America,Americas,
Egypt,Northern Africa,Africa,
El Salvador,Central America,Americas,
Equatorial Guinea,Middle Africa,Africa,
Eritrea,Eastern Africa,Africa,
Estonia,Northern Europe,Europe,
Ethiopia,Eastern Africa,Africa,
Falkland Islands (Malvinas),South America,Americas,
Faroe Islands,Northern Europe,Europe,
Fiji,Melanesia,Oceania,
Finland,Northern Europe,Europe,
France,Western Europe,Europe,fr
French Guiana,South America,Americas,
French Polynesia,Polynesia,Oceania,
French Southern Territories,Eastern Africa,Africa,
Gabon,Middle Africa,Africa,
Gambia,Western Africa,Africa,
Georgia,Western Asia,Asia,
Germany,Western Europe,Europe,de
Ghana,Western Africa,Africa,
