campaign_id,start_date,end_date,channels,industry_name,expected_impressions_count,country_language_id,country_name,language_id,impressions,total_impressions,total_completes,exposed_completes,enough_sample_size,IP_enabled_api,campaign_length,log_impressions,log_campaign_length,impressions_per_exposed_complete,impressions_expected_vs_actual,log_impressions_actual,total_impressions_expected_vs_actual,lk_countrylanguageid,name,unique_respondents,completed_sessions,language,country,log_unique_respondents,log_completed_sessions,Geographical_subregion,Continental_region
0019b5ac-4758-465a-8f32-695a462a31ef,2024-05-03 04:00:00,2024-05-24 04:00:00.000000,Digital,Alcohol,8000000,9,Japan,14,13333736.0,13334816,1457,728,True,True,21,15.89495209964411,3.044522437723423,18317.054945054944,5333736.0,16.405888917227838,5334816,14,Japanese - Japan,1367173,21771722,Japanese,Japan,14.128255662197644,16.896122529760973,Eastern Asia,Asia
009b6227-8a2e-42e6-915c-b7e91cce8759,2024-02-22 00:00:00,2024-03-31 23:59:59.999000,Digital,Media and Entertainment,19000000,1,United States,9,19815816.0,19870418,1189,594,True,True,38,16.759949537130716,3.6375861597263857,33451.88215488216,815816.0,16.804742651045533,870418,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
0133cf46-d8b1-48f0-bd8a-003a4151664a,2024-01-18 00:00:00,2024-03-30 23:59:59.999000,Digital,Retail,8983651,1,United States,9,25067840.0,25097338,1728,865,True,False,72,16.010916927807035,4.276666119016055,29014.263583815027,16084189.0,17.038272342700807,16113687,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
015e5539-5ba9-4bf3-b92e-3117f3ee459f,2024-04-10 04:00:00,2024-06-30 04:00:00.000000,Digital,Consumer Electronics,4000000,1,United States,9,23828164.0,23837083,2302,1152,True,False,81,15.201804919084164,4.394449154672438,20691.91232638889,19828164.0,16.986753035292598,19837083,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
01e1bf64-ecf6-464f-8f0e-7bb918952d37,2024-05-22 04:00:00,2024-06-30 04:00:00.000000,Digital,Financial Services,10000000,15,Italy,13,20344966.0,20647600,2501,1251,True,True,39,16.11809565095832,3.6635616461296463,16504.876099120702,10344966.0,16.843109647856636,10647600,13,Italian - Italy,583655,9214177,Italian,Italy,13.277065333822149,16.036253834191474,Southern Europe,Europe
0231220b-c161-48e8-84e6-a553404a30ba,2024-06-10 04:00:00,2024-07-14 04:00:00.000000,Digital,Food and Beverage,20000000,3,Germany,11,29621147.0,30455310,2577,1287,True,True,34,16.811242831518264,3.526360524616161,23663.799533799534,9621147.0,17.23177092115347,10455310,11,German - Germany,1212244,12881981,German,Germany,14.007983745481232,16.37134007116163,Western Europe,Europe
027a2e92-8114-4cc7-81c5-f1f70ab81653,2024-04-24 04:00:00,2024-07-04 23:59:59.999000,Digital,Consumer Packaged Goods,20000000,18,Brazil,16,20806417.0,20816200,948,463,True,False,71,16.811242831518264,4.262679877041316,44959.39524838013,806417.0,16.851242087682117,816200,16,Portuguese - Brazil,1882315,13891196,Portuguese,Brazil,14.448012960254644,16.446765816135283,South America,Americas
02b89766-fd91-4549-bd74-b23d47401a48,2024-05-06 04:00:00,2024-06-08 03:59:00.000000,Digital,Consumer Electronics,12155589,1,United States,9,21356968.0,21357905,1391,696,True,False,32,16.313299621983266,3.4657359027997265,30686.64511494253,9201379.0,16.876932486721714,9202316,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
03640414-2146-47bc-82e6-826b09c4abf7,2024-01-08 00:00:00,2024-05-26 23:59:59.999000,Digital,Food and Beverage,4000000,5,Canada,6,3776768.0,3776808,1433,717,True,True,139,15.201804919084164,4.934473933130692,5267.514644351464,-223232.0,15.144389766407269,-223192,6,English - Canada,1084715,13437697,English,Canada,13.89682783764109,16.413574524209807,Northern America,Americas
0406661e-0fa3-42b6-b1c6-e45ba164c855,2024-04-10 00:00:00,2024-05-21 23:59:59.999000,Digital,Fashion and Beauty,4500000,3,Germany,11,3418806.0,3418806,1502,750,True,True,41,15.319587954740548,3.713572066704308,4558.408,-1081194.0,15.044801925274214,-1081194,11,German - Germany,1212244,12881981,German,Germany,14.007983745481232,16.37134007116163,Western Europe,Europe
043d9776-e922-4ff9-97d2-00f9f69653fa,2024-01-03 00:00:00,2024-05-01 00:00:00.000000,Digital,Automotive,42000000,1,United States,9,90770457.0,90771294,3921,1962,True,True,119,17.553180176247643,4.77912349311153,46264.67584097859,48770457.0,18.323853648212587,48771294,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
045d410e-656e-46ed-ae5b-379860923f10,2024-01-01 00:00:00,2024-06-30 23:59:59.999000,Digital,Healthcare and Pharmaceuticals,27642857,1,United States,9,14760311.0,14760894,2588,1292,True,False,181,17.134877916210836,5.198497031265825,11424.840557275542,-12882546.0,16.507491944408056,-12881963,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
045f3736-71ad-4a7b-a361-bdcf3e44ea4a,2024-02-04 00:00:00,2024-06-30 00:00:00.000000,Digital,Media and Entertainment,2225290,4,Australia,5,1387079.0,1387083,1501,749,True,True,147,14.61539780216799,4.990432586778736,1851.913217623498,-838211.0,14.142713538890826,-838207,5,English - Australia,700215,7535761,English,Australia,13.459142709723972,15.835170380298054,Australia and New Zealand,Oceania
04a3745d-699c-4af1-a656-732d8d5e4abd,2024-04-11 04:00:00,2024-06-29 04:00:00.000000,Digital,Consumer Electronics,37000000,9,Japan,14,34066788.0,34606314,3471,1738,True,False,79,17.4264284706085,4.3694478524670215,19911.57307249712,-2933212.0,17.359546708928622,-2393686,14,Japanese - Japan,1367173,21771722,Japanese,Japan,14.128255662197644,16.896122529760973,Eastern Asia,Asia
050b4809-02ec-4745-b17e-beb3f63ba56c,2024-06-18 00:00:00,2024-07-26 15:05:50.402791,Digital,Other,4500000,1,United States,9,494753.0,494753,649,326,True,True,38,15.319587954740548,3.6375861597263857,1517.6472392638036,-4005247.0,13.111813927114948,-4005247,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
05fbf3d3-e43b-4bcf-91b3-fe1fca4723b1,2024-04-06 04:00:00,2024-06-30 04:00:00.000000,Digital,Consumer Packaged Goods,7333333,18,Brazil,16,9696895.0,9792370,1167,581,True,False,85,15.807940677199934,4.442651256490317,16854.33734939759,2363562.0,16.097114068968086,2459037,16,Portuguese - Brazil,1882315,13891196,Portuguese,Brazil,14.448012960254644,16.446765816135283,South America,Americas
062cd0d5-83a2-41ac-a9b1-983d803e1b20,2024-06-06 04:00:00,2024-06-30 04:00:00.000000,Digital,Food and Beverage,20000000,3,Germany,11,12746822.0,13100143,2572,1285,True,True,24,16.811242831518264,3.1780538303479453,10194.663813229572,-7253178.0,16.388133704142334,-6899857,11,German - Germany,1212244,12881981,German,Germany,14.007983745481232,16.37134007116163,Western Europe,Europe
071d8dae-51dd-4e81-bcf6-64f5f5fb1bcb,2023-11-06 00:00:00,2024-02-29 00:00:00.000000,Digital,Automotive,6550004,5,Canada,6,5571840.0,5572484,1452,726,True,True,115,15.69497621829827,4.74493212836325,7675.597796143251,-978164.0,15.533351472995328,-977520,6,English - Canada,1084715,13437697,English,Canada,13.89682783764109,16.413574524209807,Northern America,Americas
074e342a-457a-4544-911c-8339d7265b7f,2024-01-10 00:00:00,2024-03-31 23:59:59.999000,Digital,Fashion and Beauty,12000000,1,United States,9,6900299.0,6900573,1842,922,True,False,81,16.300417207752275,4.394449154672438,7484.352494577007,-5099701.0,15.74711500959783,-5099427,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
077b4e45-4723-48e4-b4f2-4ef3c307f01f,2023-11-20 00:00:00,2024-03-01 00:00:00.000000,Digital,Travel and Tourism,4638462,4,Australia,5,4539535.0,4539895,1489,741,True,True,102,15.34989340373836,4.624972813284271,6126.713900134952,-98927.0,15.328414441996776,-98567,5,English - Australia,700215,7535761,English,Australia,13.459142709723972,15.835170380298054,Australia and New Zealand,Oceania
07976f39-683c-432d-9293-05db9b270b6a,2024-04-15 00:00:00,2024-04-28 23:59:59.000000,Digital,Media and Entertainment,28661016,1,United States,9,42674593.0,43286391,1448,719,True,True,13,17.171048429840635,2.5649493574615367,60203.60361613352,14013577.0,17.583348847959492,14625375,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
0960777f-7bed-49a0-8d9f-9380cc555dab,2023-09-25 00:00:00,2024-03-31 23:59:59.999000,Digital,Travel and Tourism,6000000,7,France,10,14397606.0,14401374,2574,1285,True,True,188,15.607270027192328,5.236441962829949,11207.294941634242,8397606.0,16.482834176661015,8401374,10,French - France,1902921,17203471,French,France,14.458900632016686,16.660621723749912,Western Europe,Europe
0968795f-3c5b-475f-a874-43892210435f,2024-04-26 00:00:00,2024-05-27 23:59:59.999000,Digital,Food and Beverage,7000000,16,Philippines,58,4545572.0,4545573,1576,788,True,True,31,15.761420707019589,3.4339872044851463,5768.493654822335,-2454428.0,15.329664350254493,-2454427,58,English - Philippines,484214,2821736,English,Philippines,13.090282236740139,14.852862856345478,South-eastern Asia,Asia
0a584dd1-d99a-4bb4-b817-6d957ecef282,2024-01-08 00:00:00,2024-02-29 23:59:59.999000,Digital,Retail,6391450,2,United Kingdom,8,2635558.0,4244215,1626,798,True,True,52,15.67047171766984,3.951243718581427,5318.565162907268,-3755892.0,15.261067437187796,-2147235,8,English - United Kingdom,2575510,43004997,English,United Kingdom,14.761558130721454,17.576826876208383,Northern Europe,Europe
0a77f1ff-4973-4736-b7e9-4e9a7e65221c,2024-01-17 00:00:00,2024-03-31 23:59:59.999000,Digital,Alcohol,13200000,1,United States,9,22578476.0,22579324,1965,982,True,False,74,16.395727387556597,4.304065093204169,22993.2016293279,9378476.0,16.932545178239412,9379324,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
0af1b567-5689-4f7b-8814-c2f77f660fd0,2024-03-19 00:00:00,2024-04-10 00:00:00.000000,Digital,Telecom and Technology,4500000,1,United States,9,4748178.0,4748201,967,485,True,True,22,15.319587954740548,3.091042453358316,9790.105154639175,248178.0,15.373276367429806,248201,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
0b779fc2-ef99-49d2-b941-7b4c3f77b25d,2024-01-01 00:00:00,2024-03-31 23:59:59.999000,Digital,Gambling and Betting,66200000,2,United Kingdom,8,18953287.0,18955690,4867,2432,True,False,90,18.008191020907237,4.499809670330265,7794.280427631579,-47246713.0,16.757614708274783,-47244310,8,English - United Kingdom,2575510,43004997,English,United Kingdom,14.761558130721454,17.576826876208383,Northern Europe,Europe
0cab5414-d8bc-40e4-bacc-508ca669819e,2024-04-08 04:00:00,2024-07-31 04:00:00.000000,Digital,Financial Services,4170000,5,Canada,6,5258405.0,5280020,1501,750,True,True,114,15.243426593774984,4.736198448394496,7040.026666666667,1088405.0,15.479440443554058,1110020,6,English - Canada,1084715,13437697,English,Canada,13.89682783764109,16.413574524209807,Northern America,Americas
0d635972-b4df-463b-b58f-8ebf959d8bca,2024-02-26 05:00:00,2024-03-17 04:00:00.000000,Digital,Financial Services,7142000,13,Mexico,21,1564179.0,1564386,274,129,True,False,19,15.78150340713653,2.9444389791664403,12127.023255813954,-5577821.0,14.26300397270558,-5577614,21,Spanish - Mexico,1349495,10250362,Spanish,Mexico,14.115241006357378,16.14282357999823,Central America,Americas
0d673c9e-fc11-473c-ad0b-eb64d567cca5,2024-04-01 04:00:00,2024-07-01 03:59:00.000000,Digital,Home and Garden,68697002,1,United States,9,145477860.0,145490245,5636,2852,True,True,90,18.04521611723018,4.499809670330265,51013.409887798036,76780858.0,18.795619597654685,76793243,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
0dd4cce2-707c-4a62-aa7a-8020debccbcf,2024-06-01 00:00:00,2024-07-01 00:00:00.000000,Digital,Retail,4587856,1,United States,9,1392305.0,1392318,1429,745,True,False,30,15.338923370513903,3.4011973816621555,1868.88322147651,-3195551.0,14.14648054206203,-3195538,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
0e19e7b4-6755-4cee-bc39-311b1c4e5590,2024-07-03 00:00:00,2024-08-14 00:00:00.000000,Digital,Travel and Tourism,4500000,1,United States,9,3131994.0,3131994,1487,745,True,True,42,15.319587954740548,3.737669618283368,4204.018791946309,-1368006.0,14.957180420382183,-1368006,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
0e50a37b-ddf4-4001-9232-e2f8f59dadd5,2024-04-05 04:00:00,2024-06-19 04:00:00.000000,Digital,Consumer Packaged Goods,5000000,26,Saudi Arabia,29,41087259.0,44111130,2200,1098,True,False,75,15.424948470398371,4.31748811353631,40174.071038251364,36087259.0,17.60222268952674,39111130,29,Arabic - Saudi Arabia,156565,2246326,Arabic,Saudi Arabia,11.961226538197705,14.6248065506756,Western Asia,Asia
0eb4a2e7-f650-4890-9790-822f2f35180b,2024-02-15 05:00:00,2024-03-31 04:00:00.000000,Digital,Consumer Electronics,5600000,25,United Arab Emirates (UAE),82,4062983.0,4067879,1455,729,True,False,44,15.538277155705376,3.784189633918261,5580.080932784636,-1537017.0,15.218632291362098,-1532121,82,Arabic - United Arab Emirates,83145,883090,Arabic,United Arab Emirates,11.328341350522015,13.691182399646884,Western Asia,Asia
0f0851a5-6058-4310-a92a-f804375c63ab,2024-03-12 04:00:00,2024-03-31 04:00:00.000000,Digital,Alcohol,3378378,13,Mexico,21,6562001.0,6928771,517,254,True,True,19,15.032906270622345,2.9444389791664403,27278.62598425197,3183623.0,15.751193010561279,3550393,21,Spanish - Mexico,1349495,10250362,Spanish,Mexico,14.115241006357378,16.14282357999823,Central America,Americas
0fd3adfb-f090-4a35-aa7d-153df83ee794,2024-03-19 00:00:00,2024-04-28 23:59:59.999000,Digital,Retail,15625000,1,United States,9,15790477.0,15796288,2044,1023,True,False,40,16.564382753586738,3.688879454113936,15441.14173998045,165477.0,16.575285533686383,171288,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
1001a410-4584-40d2-8732-20fcdb5ad97e,2024-01-08 00:00:00,2024-03-02 00:00:00.000000,Digital,Other,42429956,1,United States,9,27973678.0,27974589,3684,1839,True,False,54,17.563365180175847,3.988984046564274,15211.848287112562,-14456278.0,17.14680712036533,-14455367,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
110037e2-2e25-4740-b738-3a7c97af646b,2023-10-16 00:00:00,2024-03-31 23:59:59.999000,Digital,Travel and Tourism,12000000,1,United States,9,18362613.0,20901427,2002,1001,True,True,167,16.300417207752275,5.1179938124167546,20880.546453546453,6362613.0,16.855327992116198,8901427,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
1146f636-fb04-460f-b042-4f38e2f3dc3b,2024-02-15 00:00:00,2024-06-29 23:59:59.999000,Digital,Fashion and Beauty,9000000,1,United States,9,8678379.0,8682967,1793,894,True,False,135,16.012735135300492,4.90527477843843,9712.491051454139,-321621.0,15.97687384850579,-317033,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
1171b58e-53e1-41b1-8ca6-7f105ee8f694,2024-01-01 00:00:00,2024-04-01 00:00:00.000000,Digital,Other,6707983,1,United States,9,6549039.0,6549264,1399,700,True,True,91,15.718808867634609,4.51085950651685,9356.091428571428,-158944.0,15.694863234885641,-158719,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
11edaf38-0db3-4861-8c6f-dd72fd46caac,2024-04-01 04:00:00,2024-07-01 03:59:00.000000,Digital,Financial Services,8632433,1,United States,9,19175973.0,19178067,2187,1093,True,True,90,15.971036946849235,4.499809670330265,17546.26440988106,10543540.0,16.76927784027606,10545634,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
122e1f73-6065-4dd7-9d05-ad3dd969dd5f,2024-03-04 00:00:00,2024-04-14 23:59:59.999000,Digital & Linear TV,Insurance,8300000,1,United States,9,9242651.0,9242767,2669,1334,True,True,41,15.931766072766823,3.713572066704308,6928.610944527736,942651.0,16.039351857663465,942767,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
123b00a1-0ca9-4544-a557-ead812372543,2024-05-12 04:00:00,2024-06-06 04:00:00.000000,Digital,Alcohol,5000000,9,Japan,14,5505013.0,5505187,1427,713,True,False,25,15.424948470398371,3.218875824868201,7721.159887798037,505013.0,15.521201296680962,505187,14,Japanese - Japan,1367173,21771722,Japanese,Japan,14.128255662197644,16.896122529760973,Eastern Asia,Asia
1261ab5a-1a39-4349-8bcd-c2f5c07cd8c0,2024-02-12 00:00:00,2024-04-30 23:59:59.999000,Digital,Media and Entertainment,19000000,1,United States,9,18791397.0,18799181,2491,1243,True,False,78,16.759949537130716,4.356708826689592,15124.039420756235,-208603.0,16.74932386302146,-200819,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
126b6f36-6d15-4e14-867f-6b0995d67c4a,2024-02-19 05:00:00,2024-04-01 03:59:00.000000,Digital,Retail,52614847,1,United States,9,81118628.0,81148469,3980,2014,True,False,41,17.778508900236826,3.713572066704308,40292.189175769614,28503781.0,18.211790985449923,28533622,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
127ad366-33bd-427a-aaf2-43d9b9d85130,2024-02-01 00:00:00,2024-06-30 23:59:59.999000,Digital,Telecom and Technology,20600000,1,United States,9,20568659.0,20740642,2623,1311,True,True,150,16.84080163375981,5.010635294096256,15820.474446987033,-31341.0,16.84760571496352,140642,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
1313506c-a867-44dc-b580-55595d04353f,2024-03-11 00:00:00,2024-05-01 00:00:00.000000,Digital,Retail,6000000,1,United States,9,6042306.0,6042306,1377,695,True,True,51,15.607270027192328,3.9318256327243257,8693.9654676259,42306.0,15.614296285127944,42306,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
134fd037-1a50-412f-b586-40a9b6633d77,2024-04-19 00:00:00,2024-05-17 23:59:59.999000,Digital,Fashion and Beauty,1000000,3,Germany,11,2804259.0,2804353,1385,692,True,False,28,13.815510557964274,3.332204510175204,4052.53323699422,1804259.0,14.84668341079639,1804353,11,German - Germany,1212244,12881981,German,Germany,14.007983745481232,16.37134007116163,Western Europe,Europe
1437c724-893f-4fe7-9329-bf6994af2764,2024-06-28 23:00:00,2024-07-25 00:00:00.000000,Digital,Media and Entertainment,12731092,7,France,10,329758.0,329784,785,393,True,False,26,16.35955774847278,3.2580965380214817,839.1450381679389,-12401334.0,12.70619317367972,-12401308,10,French - France,1902921,17203471,French,France,14.458900632016686,16.660621723749912,Western Europe,Europe
14b76f4b-1f18-4f35-af2d-bd561aacb8c2,2024-04-11 00:00:00,2024-05-08 20:54:10.502053,Digital,Automotive,10000000,1,United States,9,2147208.0,2147407,1084,565,True,False,27,16.11809565095832,3.295836866004329,3800.720353982301,-7852792.0,14.579771625732842,-7852593,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
15a3320f-3cfd-4fd6-aaf3-bfd318f50953,2023-12-15 05:00:00,2024-04-16 03:59:00.000000,Digital,Fashion and Beauty,14992251,1,United States,9,10958342.0,10963086,900,448,True,True,122,16.52304402558273,4.804021044733257,24471.17410714286,-4033909.0,16.210044369194,-4029165,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
15ecb6d5-d107-4975-b621-4c8adfb121a0,2023-10-11 00:00:00,2024-06-30 23:59:59.000000,Digital,Healthcare and Pharmaceuticals,31000000,1,United States,9,31038230.0,31040056,2243,1118,True,True,263,17.24949776244942,5.572154032177765,27763.91413237925,38230.0,17.250789057401377,40056,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
1631dee7-fdb5-4bdb-a8f9-cb2d22709bf8,2024-02-19 00:00:00,2024-03-01 00:00:00.000000,Digital,Travel and Tourism,4500000,9,Japan,14,3598820.0,3598839,1383,691,True,False,11,15.319587954740548,2.3978952727983707,5208.160636758321,-901180.0,15.096121851412029,-901161,14,Japanese - Japan,1367173,21771722,Japanese,Japan,14.128255662197644,16.896122529760973,Eastern Asia,Asia
16b991cb-169e-47e9-a47e-5f8b7cb1270f,2024-04-09 00:00:00,2024-05-19 23:59:59.999000,Digital,Media and Entertainment,2600000,2,United Kingdom,8,4903494.0,4904601,1502,751,True,False,40,14.77102200299171,3.688879454113936,6530.760319573901,2303494.0,15.40568430210712,2304601,8,English - United Kingdom,2575510,43004997,English,United Kingdom,14.761558130721454,17.576826876208383,Northern Europe,Europe
170af585-1dfe-425c-b8d2-b1c674a8b469,2024-04-15 04:00:00,2024-06-02 04:00:00.000000,Digital,Other,12874021,5,Canada,6,44484236.0,45102124,2928,1465,True,True,48,16.370721962788025,3.8712010109078903,30786.43276450512,31610215.0,17.624439898707635,32228103,6,English - Canada,1084715,13437697,English,Canada,13.89682783764109,16.413574524209807,Northern America,Americas
172936c6-3ab3-48b6-a5f0-81359b8abe40,2024-03-17 00:00:00,2024-07-31 23:59:59.999000,Digital,Retail,12000000,1,United States,9,6464818.0,6609741,1953,979,True,False,136,16.300417207752275,4.912654885736052,6751.5229826353425,-5535182.0,15.704055028004216,-5390259,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
17518cbe-f257-4535-8e62-32a4cf3f9c31,2024-03-18 04:00:00,2024-04-01 03:59:00.000000,Digital,Financial Services,37647059,1,United States,9,37961693.0,37963640,2020,1016,True,True,13,17.443765394949274,2.5649493574615367,37365.7874015748,314634.0,17.452139417519767,316581,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
17c80a35-3c38-4614-b51d-f55d461e8278,2024-02-26 00:00:00,2024-04-01 00:00:00.000000,Digital,Other,4500000,1,United States,9,3070913.0,3070929,1143,570,True,True,35,15.319587954740548,3.555348061489413,5387.594736842106,-1429087.0,14.937490679650653,-1429071,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
181b89b1-32ba-49d0-b89e-a5c551af50a1,2024-01-29 05:00:00,2024-03-30 03:59:00.000000,Digital,Consumer Electronics,14402668,1,United States,9,42349562.0,42372533,3544,1772,True,True,60,16.4829240251622,4.0943445622221,23912.26467268623,27946894.0,17.562010903681053,27969865,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
18bf5af5-a768-410d-b055-dea0a0342833,2024-01-01 00:00:00,2024-04-20 23:59:59.999000,Digital,Financial Services,10713033,1,United States,9,11755938.0,11756192,1882,941,True,False,110,16.186971595609595,4.700480365792416,12493.296493092455,1042905.0,16.279890638473322,1043159,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
1946ed3a-0271-4189-8bc5-a3d54effb26f,2024-01-10 00:00:00,2024-03-31 23:59:59.999000,Digital,Financial Services,55100000,1,United States,9,67656545.0,67731466,4211,2098,True,False,81,17.824660274123143,4.394449154672438,32283.825548141085,12556545.0,18.031061415722824,12631466,9,English - United States,26777565,229791740,English,United States,17.10307496802905,19.252683978433527,Northern America,Americas
