lk_countrylanguageid,unique_respondents,completed_sessions
148,4138,14361
31,50444,488205
85,41855,214035
251,465,905
137,1067,3087
65,20121,60059
53,134272,1154906
78,41622,212944
108,65905,148391
211,2348,5351
193,18621,49754
34,17741,111305
115,34233,94498
126,12100,46057
101,8604,23410
81,278376,1717122
28,82989,786019
210,1198,2684
76,252551,620191
27,295291,864745
26,95645,693215
271,4735,12741
159,993,2432
192,294,862
253,4655,10319
103,21505,52242
236,3197,8792
12,67426,532835
223,543,1162
91,15920,42264
285,5645,11004
222,595,1172
22,844234,9642272
128,47158,121602
330,371,422
122,5598,16257
230,8248,18499
93,93130,756316
233,3,4
232,538,1112
225,244,531
246,8506,19762
224,29511,73498
111,8658,25584
47,203000,1535315
177,281,303
132,1188,2393
152,1952,5614
305,2288,18130
185,816,883
291,305,471
146,3881,12514
259,409,914
1,1393548,12688893
206,20,41
52,866630,5881348
297,1102,1846
212,3978,10803
274,219,518
13,583655,9214177
280,85,96
218,743,1657
16,1882315,13891196
6,1084715,13437697
86,8232,18585
3,89813,803968
178,76,84
142,1366,1480
308,1457,2301
40,73471,798296
164,11059,31493
20,546808,3480592
169,3315,4340
283,3013,7032
139,488,1062
295,785,1612
250,3756,9867
94,1311,2955
57,83307,1245272
306,494,782
54,328537,2536451
120,114969,475248
96,85320,137723
235,437,1239
266,295,801
5,700215,7535761
163,6635,32782
268,4416,12888
279,2056,3390
19,452752,2988667
92,26965,149598
299,3695,7907
64,46399,255178
227,8695,31472
41,44491,134568
309,815,1190
15,354539,4334324
43,97830,1079379
262,164,471
112,34076,126141
165,16963,42149
189,32780,185999
37,354444,2257466
61,98398,702532
127,4360,9479
197,5630,17603
88,6234,47452
107,16677,63133
263,10922,32486
9,26777565,229791740
17,123600,1071083
231,1926,4617
72,26586,111166
286,1177,1905
35,3000,7421
196,33887,139427
290,469,1038
307,3589,5096
114,4154,11135
59,95417,377052
4,249665,2926559
55,296454,962240
8,2575510,43004997
100,7273,10420
161,3116,8544
23,127276,1485251
39,105304,849675
49,577367,4142270
7,2655458,18744099
162,17592,58557
238,9699,32138
130,8308,18673
244,935,2159
84,378213,3305648
136,15143,64599
247,1948,4833
87,19713,54870
171,423,499
194,13656,43851
51,703,1648
69,44091,162365
97,222847,821717
264,1569,2756
239,7125,16804
234,1754,4813
63,18485,57666
10,1902921,17203471
77,283772,827289
102,3078,6675
50,137168,1858401
267,8069,17995
45,151793,1674660
38,95270,619126
82,83145,883090
249,7265,17946
167,4729,19880
288,222,286
80,219475,1212701
240,750,1910
289,889,1494
25,167862,747034
73,17091,89346
245,823,2190
113,13407,32062
237,554,1341
24,301687,2168330
160,3319,3858
70,13754,108021
62,115097,1147561
125,5618,129511
121,29174,46686
95,16937,49852
29,156565,2246326
226,14,33
157,29,63
205,17,33
327,74,89
207,69,117
310,188,227
229,305,614
301,375,418
273,287,486
277,351,422
129,229,523
312,35,39
293,152,204
320,58,60
21,1349495,10250362
214,2578,6010
323,683,746
98,12912,29356
287,1539,1964
32,71778,764198
90,13149,52308
75,21878,77678
203,8179,23064
141,6517,20304
151,7528,10656
272,21898,35497
200,2296,3048
145,5468,16725
56,52387,174576
109,20918,69563
213,1730,3948
228,921,2299
303,1604,2316
304,491,612
105,4048,9168
58,484214,2821736
188,543,1172
11,1212244,12881981
83,15382,55875
150,19282,53732
110,4483,20951
68,10660,27236
106,85417,224273
71,22284,160755
260,48,114
116,41045,137030
147,6920,24422
14,1367173,21771722
198,4709,5725
123,43751,120630
242,1864,4243
199,1324,3995
284,380,465
248,2387,5582
119,15396,44174
42,318,608
2,70633,384791
79,23655,108657
201,790,2158
149,48001,296252
131,978,3344
276,4725,12528
294,1488,2971
124,5127,7991
281,1458,1522
30,46001,637361
99,64129,184170
302,193,244
184,1000,1089
66,59978,227626
46,48950,413750
282,2014,3346
67,14387,46232
275,631,1548
311,671,824
172,2254,2596
252,382,892
144,8214,24970
153,1138,3902
18,89817,561300
74,54398,136367
138,5664,17718
104,30362,60520
134,7233,18078
36,6624,22536
187,2019,5659
89,120327,430445
243,79,190
256,187,511
204,286,846
135,83,103
241,8,13
261,29,73
254,201,437
215,92,179
180,108,112
326,191,435
265,29,38
270,98,204
155,30,119
329,34,67
140,2,4
325,11,12
221,21,94
319,2,2
168,72,72
292,131,251
118,5,7
255,3,7
324,15,15
298,55,59
220,26,86
313,57,62
219,10,26
117,3,6
216,1,1
316,1,1
133,8,13
44,2,12
456,3,3
258,1,4
86666,1,1
224139077,1,1
143,2,2
190,1,2
156,1,1
0,2,2
321,2,6
